,Player,Year,Pos,Cat_POS,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Conf,Division,Wins,Losses,Ties,Win %,Div_Rank,Scored,Allowed,Net,SOV,SOS,Playoff,Won Superbowl
133,Logan Mankins,2011,G,Offense,NE,"$1,500,000","$4,000,000","$5,500,000",0.043,AFC,AFC East,13,3,0,0.8125,1,513,342,171,0.423077,0.449219,Yes,No
134,Eric Winston,2011,RT,Offense,HOU,"$4,500,000","$1,000,000","$5,500,000",0.046,AFC,AFC South,10,6,0,0.625,1,381,278,103,0.4125,0.453125,Yes,No
135,David Stewart,2011,RT,Offense,TEN,"$4,500,000","$1,000,000","$5,500,000",0.043,AFC,AFC South,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,No,No
136,Maurkice Pouncey,2011,C,Offense,PIT,"$450,000",$0,"$5,473,625",0.045,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
137,Nate Clements,2011,CB,Defense,CIN,"$1,400,000","$1,000,000","$5,400,000",0.04,AFC,AFC North,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,Yes,No
138,Terrence McGee,2011,CB,Defense,BUF,"$3,200,000","$600,000","$5,400,000",0.039,AFC,AFC East,6,10,0,0.375,4,372,434,-62,0.510417,0.519531,No,No
139,Derek Anderson,2011,QB,Offense,ARI,"$4,087,500","$1,250,000","$5,387,500",0.044,NFC,NFC West,8,8,0,0.5,2,312,348,-36,0.390625,0.46875,No,No
140,Lawrence Timmons,2011,ILB,Defense,PIT,"$1,000,000","$2,000,000","$5,378,750",0.045,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
141,Barry Cofield,2011,DT,Defense,WAS,"$3,200,000","$1,800,000","$5,300,000",0.04,NFC,NFC East,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,No,No
142,Jason Babin,2011,DE,Defense,PHI,"$1,000,000","$300,000","$5,300,000",0.04,NFC,NFC East,8,8,0,0.5,2,396,328,68,0.398438,0.488281,No,No
143,James Harrison,2011,OLB,Defense,PIT,"$1,176,470","$2,000,000","$5,291,470",0.044,AFC,AFC North,12,4,0,0.75,2,325,227,98,0.411458,0.492188,Yes,No
